dataset,variant,sparsity_level,rmse_hybrid,hr10_hybrid,rmse_classical,hr10_classical
amazon,full,0.8,1.0264305687311401,0.0,0.8505403667349046,0.16
amazon,full,0.9,0.6099123291337503,0.041666666666666664,0.479224316249493,0.125
amazon,full,0.95,0.6562288356327791,0.0,0.5803202970195729,0.0
amazon,full,0.99,,,,
amazon,without_mmr,0.8,1.0264305687311401,0.24,0.8505403667349046,0.16
amazon,without_mmr,0.9,0.6099123291337503,0.125,0.479224316249493,0.125
amazon,without_mmr,0.95,0.6562288356327791,0.0,0.5803202970195729,0.0
amazon,without_mmr,0.99,,,,
amazon,without_novelty,0.8,1.0264305687311401,0.0,0.8505403667349046,0.16
amazon,without_novelty,0.9,0.6099123291337503,0.0,0.479224316249493,0.125
amazon,without_novelty,0.95,0.6562288356327791,0.0,0.5803202970195729,0.0
amazon,without_novelty,0.99,,,,
amazon,without_shrinkage,0.8,0.8505403667349046,0.2,0.8505403667349046,0.16
amazon,without_shrinkage,0.9,0.479224316249493,0.125,0.479224316249493,0.125
amazon,without_shrinkage,0.95,0.5803202970195729,0.0,0.5803202970195729,0.0
amazon,without_shrinkage,0.99,,,,
amazon,without_dwave,0.8,1.0264305687311401,0.0,0.8505403667349046,0.16
amazon,without_dwave,0.9,0.6099123291337503,0.041666666666666664,0.479224316249493,0.125
amazon,without_dwave,0.95,0.6562288356327791,0.0,0.5803202970195729,0.0
amazon,without_dwave,0.99,,,,
