user_idx,held_item_idx,top1_hit_hybrid,top1_hit_classical
478708,6009,0.0,0.0
221473,28649,0.0,0.0
138179,5891,0.0,0.0
244024,27109,0.0,0.0
148548,7016,0.0,0.0
150863,7511,0.0,0.0
87951,27697,0.0,0.0
51940,7083,0.0,0.0
334755,16014,0.0,0.0
94471,6332,0.0,0.0
383138,22166,0.0,0.0
296534,22122,0.0,0.0
318389,10318,0.0,0.0
217959,5891,0.0,0.0
363283,19275,0.0,0.0
9649,11788,0.0,0.0
294576,13031,0.0,0.0
101405,11026,0.0,0.0
230382,11909,0.0,0.0
63133,6269,0.0,0.0
515525,421,0.0,0.0
394764,730,0.0,0.0
310244,28183,0.0,0.0
347252,11916,0.0,0.0
153192,29243,0.0,0.0
225723,15531,0.0,0.0
256666,6882,0.0,0.0
455564,10213,0.0,0.0
364127,25254,0.0,0.0
236016,7662,0.0,0.0
413017,17803,0.0,0.0
207072,6779,0.0,0.0
506393,21870,0.0,0.0
337943,987,0.0,0.0
220609,23179,0.0,0.0
142688,12044,0.0,0.0
435114,19763,0.0,0.0
17498,6269,0.0,0.0
434505,7580,0.0,0.0
505037,11807,0.0,0.0
140018,11807,0.0,0.0
107775,630,0.0,0.0
500233,16005,0.0,0.0
222032,22416,0.0,0.0
177526,11800,0.0,0.0
287353,12333,0.0,0.0
46101,1940,0.0,0.0
290222,22945,0.0,0.0
325337,12795,0.0,0.0
435524,3698,0.0,0.0
223725,10699,0.0,0.0
124515,28319,0.0,0.0
235588,711,0.0,0.0
510821,5383,0.0,0.0
3725,16243,0.0,0.0
410407,22320,0.0,0.0
327137,7506,0.0,0.0
348894,11590,0.0,0.0
425551,23697,0.0,0.0
393485,9188,0.0,0.0
343872,7678,0.0,0.0
245201,6579,0.0,0.0
351638,16217,0.0,0.0
64819,25318,0.0,0.0
462279,20866,0.0,0.0
210397,11788,0.0,0.0
471533,26259,0.0,0.0
282515,16084,0.0,0.0
22019,10489,0.0,0.0
186865,6882,0.0,0.0
348171,6613,0.0,0.0
228192,19011,0.0,0.0
34290,29025,0.0,0.0
182734,987,0.0,0.0
359642,2900,0.0,0.0
326167,11932,0.0,0.0
425109,11820,0.0,0.0
32182,17517,0.0,0.0
282636,23083,0.0,0.0
92962,5891,0.0,0.0
259898,6499,0.0,0.0
369166,11960,0.0,0.0
392763,11822,0.0,0.0
359192,16333,0.0,0.0
222752,14844,0.0,0.0
46026,26642,0.0,0.0
