method,k,gamma,silhouette,davies_bouldin
qlloyd_mean,9,6.0,0.1597402531929472,2.68023922840593
qlloyd_mean,10,5.0,0.15146614228796598,4.572639091359214
qlloyd_mean,10,6.0,0.1494452395102061,3.2266773933676767
agglo_average,10,6.0,0.1457905583412321,2.39945102138311
qlloyd_mean,8,6.0,0.14539280112600342,3.7687977411623623
qlloyd_mean,9,5.0,0.1447448538632077,4.89164040770453
agglo_average,11,6.0,0.1446652722236083,2.642336576067102
qlloyd_mean,10,4.0,0.14364520898132607,3.7571508255662813
agglo_average,12,6.0,0.1415104516177527,4.385413516835758
agglo_average,9,6.0,0.14081134163714792,3.7125156345398955
agglo_average,10,5.0,0.14069951891004656,3.1671222752055552
qlloyd_mean,7,6.0,0.13840849468365837,3.0411011019801313
agglo_average,11,5.0,0.13835328975231506,2.936942178751026
qlloyd_mean,7,5.0,0.13638278325364425,6.9636058202405735
agglo_average,9,5.0,0.13596961567103485,2.9327703780873757
agglo_average,10,7.0,0.13555792542913692,2.963408549481199
agglo_average,11,7.0,0.13434554364971893,2.839023611423654
qlloyd_mean,9,7.0,0.13405791623882815,2.7053763034989995
agglo_average,8,6.0,0.13353709388021479,3.9491191427898955
agglo_average,12,7.0,0.13271209847650958,2.7883184732029505
agglo_average,9,7.0,0.13254597539726048,7.380522357567862
agglo_average,8,5.0,0.13200776561417846,4.339988260660149
qlloyd_mean,7,7.0,0.13016292092082465,4.88619548548104
agglo_average,12,5.0,0.12988097644539862,2.831945021341916
qlloyd_mean,8,8.0,0.12973243310076474,3.2326992569364483
qlloyd_mean,8,7.0,0.12913708715168215,4.506123560435077
agglo_average,7,6.0,0.1287748710061508,3.081894597785616
agglo_average,8,7.0,0.1269254467148575,8.05232125853204
qlloyd_mean,7,8.0,0.12551343911903962,2.5028435676598666
qlloyd_mean,12,3.0,0.1247965468054205,4.01065140799311
agglo_average,6,6.0,0.12371085559640861,2.041012311400092
agglo_average,10,8.0,0.12339433846501256,3.1364916481171647
agglo_average,7,5.0,0.12322365667844587,4.555356212057446
agglo_average,7,7.0,0.1229407076426852,9.922783711520244
qlloyd_mean,11,4.0,0.1215906682265131,2.0373848602116778
agglo_average,11,8.0,0.12143129944521545,2.7815017624097917
qlloyd_mean,12,4.0,0.12139481953149364,5.313480541535365
agglo_average,12,4.0,0.1210341850810398,6.08596904923466
agglo_average,9,8.0,0.12086353746168567,3.2665660122465945
agglo_average,8,8.0,0.1204484608472419,4.615078779003289
agglo_average,6,5.0,0.11865679241195617,2.9486121768157165
qlloyd_mean,11,3.0,0.11847854847830694,2.6443150525208705
qlloyd_mean,9,8.0,0.11799876020763408,2.450893580920891
qlloyd_mean,6,6.0,0.11774462791548994,1.6844683134018104
agglo_average,5,6.0,0.1172820878734799,1.8850238251853728
agglo_average,7,8.0,0.11697802404570837,3.9500728001254357
qlloyd_mean,12,5.0,0.11665051301106753,7.620215816353675
agglo_average,11,4.0,0.11589953829179497,6.015424149691807
agglo_average,6,7.0,0.11562911268570872,5.163256634786849
qlloyd_mean,12,2.5,0.11509943086384948,4.592654313603696
qlloyd_mean,6,7.0,0.11442118835210953,2.8699486567588814
qlloyd_mean,6,5.0,0.11417612052703523,4.407688687205255
qlloyd_mean,11,5.0,0.11368829318137545,5.002279857652195
qlloyd_mean,12,6.0,0.11367500764807076,4.06667520761076
qlloyd_mean,5,7.0,0.11315815179739563,1.615795327277726
qlloyd_mean,10,3.0,0.11303034599529985,2.7893032651239125
qlloyd_mean,5,6.0,0.11279512107967932,2.5629019358725684
agglo_average,5,5.0,0.11167079915469226,1.6078410317046608
agglo_average,10,4.0,0.11143330930943965,7.527277713051444
qlloyd_mean,7,4.0,0.11135781045954782,1.5487715369767134
agglo_average,6,8.0,0.1111275767836009,3.4603698644168617
agglo_average,5,7.0,0.11093116640053692,8.491583925431087
qlloyd_mean,5,5.0,0.11014224959499638,4.512587377826089
agglo_average,12,8.0,0.10993375177922662,3.294122157826172
agglo_average,9,4.0,0.10893368643119447,3.565157043893728
qlloyd_mean,5,8.0,0.10748256153484154,1.6775893081042543
qlloyd_mean,6,4.0,0.10734457303103817,3.2790775161043633
agglo_average,11,3.0,0.10711174619938157,3.4500189878910983
qlloyd_mean,11,2.5,0.10677806132845225,4.420098030988471
agglo_average,8,4.0,0.10652973269795117,1.952016967639627
qlloyd_mean,8,4.0,0.10633894257296696,3.388534297555289
agglo_average,4,6.0,0.10609258499974539,1.0997169295791471
qlloyd_mean,7,3.0,0.10591601962420082,2.3277537271676643
qlloyd_mean,11,7.0,0.10527787533604174,5.925314839041892
agglo_average,5,8.0,0.10516656201532561,3.6623603161359553
qlloyd_mean,4,5.0,0.10430940790171704,2.682737849217431
qlloyd_medoid,10,5.0,0.10310874272341382,3.695951266948229
qlloyd_mean,10,2.5,0.10293569974468673,2.851408002226426
agglo_average,4,5.0,0.10262746066128671,1.296212487021747
agglo_average,12,3.0,0.101918853762579,3.4167952930576373
qlloyd_mean,10,7.0,0.10169775695080917,5.575414701802902
agglo_average,4,7.0,0.10120863435463738,1.0207678079595317
qlloyd_mean,12,7.0,0.10111910365119965,3.701507574348827
agglo_average,7,4.0,0.10098571912854203,1.889557470188896
qlloyd_mean,8,5.0,0.09905276379116941,7.67722803258436
agglo_average,10,3.0,0.0989685580819786,3.6839695099555727
qlloyd_mean,9,3.0,0.09845887447856674,2.8172973211248
qlloyd_mean,11,2.25,0.09814218130555015,4.518231956990157
qlloyd_mean,10,8.0,0.09755050628998894,3.4541281902608256
qlloyd_mean,8,2.5,0.09715777564874051,3.109998011198062
agglo_average,4,8.0,0.09613596007888406,1.118801205544325
qlloyd_medoid,11,5.0,0.09598252463246948,3.763947484521768
qlloyd_mean,12,8.0,0.09591274171791336,3.496860370223328
qlloyd_mean,11,8.0,0.09580886569558113,4.566587341551733
agglo_average,6,4.0,0.09540121935842456,1.8894632960561415
agglo_average,9,3.0,0.09535645492202235,3.500324850417679
qlloyd_mean,4,6.0,0.09534112568106758,2.6779635990773794
qlloyd_mean,6,8.0,0.09481014085608604,1.7961942501181805
agglo_average,12,2.5,0.0946491749458538,6.416947519725091
qlloyd_medoid,12,5.0,0.0945680233892525,6.277672467342803
qlloyd_mean,10,2.25,0.09417308845772562,3.0058848030377914
qlloyd_medoid,12,2.5,0.09402514307282014,5.389250798695907
agglo_average,8,3.0,0.09366367091116515,3.2598197492543237
qlloyd_medoid,9,3.0,0.0929630030488525,2.888880326139672
qlloyd_mean,4,8.0,0.09178146667713079,1.5417132010168237
qlloyd_mean,4,7.0,0.09143874155064795,2.2228986860682096
qlloyd_mean,9,2.5,0.09135480433985241,4.56155553210681
qlloyd_mean,12,2.25,0.09105921685384828,5.868027407882327
qlloyd_medoid,10,4.0,0.09097055221627166,6.996646626489638
agglo_average,10,2.5,0.09052979393774173,6.091240392115486
agglo_average,11,2.5,0.08999362335586691,6.365974760700849
qlloyd_mean,6,3.0,0.08924923439728935,3.994687169025203
agglo_average,9,2.5,0.08868430517144996,2.41401966971681
qlloyd_medoid,9,2.5,0.08786039423822288,8.743203163821452
qlloyd_mean,5,4.0,0.08771276674255794,4.63717421695832
agglo_average,7,3.0,0.08729454662045266,1.58918203876782
qlloyd_mean,8,3.0,0.08704551406950362,10.69544862260529
qlloyd_medoid,12,4.0,0.08696547174423834,3.9889795992031054
qlloyd_mean,11,2.0,0.08680522425797135,4.547389956773476
qlloyd_medoid,11,6.0,0.08671933466466641,3.440951709978265
qlloyd_medoid,9,4.0,0.08623734917892992,2.749953241463085
qlloyd_mean,8,2.25,0.08561904316444661,2.591116586043321
qlloyd_mean,9,2.25,0.08498630196245785,4.1364149620506545
qlloyd_mean,7,2.5,0.0849780122001767,3.680514147710308
qlloyd_medoid,5,6.0,0.08495013124386196,4.088766628557082
qlloyd_medoid,12,3.0,0.08453122370043191,4.249807791260777
agglo_average,5,4.0,0.08366820496716496,2.0353901042857308
qlloyd_mean,11,6.0,0.08342749233626111,7.180958635490617
agglo_average,6,3.0,0.08290953339729495,1.4287619740676043
qlloyd_medoid,5,5.0,0.08235322428779898,3.8909382133286656
qlloyd_medoid,5,7.0,0.0822282065367853,10.248628569989057
qlloyd_mean,12,2.0,0.08217316452606388,5.2244257722354766
qlloyd_mean,6,2.5,0.08216346852918811,1.697233053612505
agglo_average,12,2.25,0.0820308877376416,3.7800942558763935
agglo_average,8,2.5,0.08141064302027821,2.483298389439862
qlloyd_medoid,12,2.0,0.0812769702350931,4.4388960845362835
qlloyd_mean,5,3.0,0.08113794397548063,6.455015830919166
qlloyd_medoid,9,5.0,0.08070076859858547,2.7125998223117005
qlloyd_medoid,9,2.25,0.07989591440235555,3.1601106092912223
qlloyd_mean,9,4.0,0.07981428671120543,2.540208423764786
qlloyd_medoid,5,4.0,0.07976055839810525,2.7694571519774422
qlloyd_mean,7,2.25,0.07850127290479549,2.1580749333274287
qlloyd_mean,4,4.0,0.07837662647695183,2.982458266884815
qlloyd_mean,10,2.0,0.07758616823955168,3.104801111451149
agglo_average,11,2.25,0.07741903959715314,3.5205386365900235
agglo_average,9,2.25,0.07719586318521415,2.7739759283843686
agglo_average,12,2.0,0.07562965660046414,5.317635430490039
qlloyd_medoid,8,4.0,0.07559754607902401,3.8982391128793594
agglo_average,10,2.25,0.07557138842201712,2.7819350274594763
qlloyd_mean,8,2.0,0.07556272577753537,3.7555468926737428
qlloyd_medoid,5,8.0,0.07542871625074071,9.0813967935043
qlloyd_medoid,6,3.0,0.07542019899132288,5.251096753756712
agglo_average,7,2.5,0.07535451548648375,1.7250488180644783
agglo_average,4,4.0,0.075124710518447,1.1264398524328763
qlloyd_medoid,4,6.0,0.07494816432140437,2.357970701077455
qlloyd_medoid,12,2.25,0.07465749668850831,4.358236900744566
agglo_average,5,3.0,0.07422960966118682,1.2465730505484147
agglo_average,11,2.0,0.07400316626647095,4.880822025283875
qlloyd_medoid,9,6.0,0.07287664269677836,3.33633196006311
qlloyd_medoid,8,5.0,0.07251401340486192,4.011956367271442
qlloyd_medoid,9,2.0,0.07198405763462906,3.388641011027106
agglo_average,10,2.0,0.07171449576305847,3.6789449759942037
