seed,sparsity_drop,hr@10_hybrid,hr@10_classical,ndcg@10_hybrid,ndcg@10_classical,precision@10_hybrid,precision@10_classical,mrr@10_hybrid,mrr@10_classical,map@10_hybrid,map@10_classical,novelty_hybrid,novelty_classical
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7091666666739375,0.6625000000084373
42,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278333333401376,0.6625000000084373
42,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000067749,0.6625000000084373
42,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325000000066875,0.6625000000084373
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715000000007125,0.6625000000084373
52,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7266666666735,0.6625000000084373
52,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278333333401376,0.6625000000084373
52,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73133333334005,0.6625000000084373
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710333333340575,0.6625000000084373
62,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000067749,0.6625000000084373
62,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325000000066875,0.6625000000084373
62,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7325000000066875,0.6625000000084373
