kernel,mode,k,silhouette,davies_bouldin,inertia,objective,iters,elbow_proxy
enhanced_vqe_spectral,enhanced_vqe_spectral,4,0.002732784205380371,0.4252565776650205,,,-1,0.9972672157946196
enhanced_vqe_spectral,enhanced_vqe_spectral,5,0.003780258544828725,1.551632384598823,,,-1,0.9962197414551712
enhanced_vqe_spectral,enhanced_vqe_spectral,6,0.00904818679029504,0.5626190955256876,,,-1,0.9909518132097049
enhanced_vqe_spectral,enhanced_vqe_spectral,7,0.018723889858428204,5.627308713881281,,,-1,0.9812761101415718
enhanced_vqe_spectral,enhanced_vqe_spectral,8,0.021650178804005583,5.612792241954491,,,-1,0.9783498211959945
enhanced_vqe_spectral,enhanced_vqe_spectral,9,0.022427260335383437,6.918010000976148,,,-1,0.9775727396646166
enhanced_vqe_spectral,enhanced_vqe_spectral,10,0.02663357682763701,9.115177829822365,,,-1,0.973366423172363
enhanced_vqe_spectral,enhanced_vqe_spectral,11,0.027299009710257893,11.65747989615511,,,-1,0.9727009902897421
enhanced_vqe_spectral,enhanced_vqe_spectral,12,0.029505688884985646,6.905682872800303,,,-1,0.9704943111150144
quantum_lloyd_fallback,quantum_lloyd_fallback,4,0.017234721010561206,6.580631100016612,,,-1,0.9827652789894388
quantum_lloyd_fallback,quantum_lloyd_fallback,5,0.02045979942348736,4.214845059402753,,,-1,0.9795402005765126
quantum_lloyd_fallback,quantum_lloyd_fallback,6,0.019957410780030438,12.807155981607908,,,-1,0.9800425892199696
quantum_lloyd_fallback,quantum_lloyd_fallback,7,0.016965544548879684,9.336191404119932,,,-1,0.9830344554511203
quantum_lloyd_fallback,quantum_lloyd_fallback,8,0.023669302898333973,7.321833118043367,,,-1,0.976330697101666
quantum_lloyd_fallback,quantum_lloyd_fallback,9,0.02911098436945154,7.988080294231774,,,-1,0.9708890156305484
quantum_lloyd_fallback,quantum_lloyd_fallback,10,0.030107826447552992,6.221360353476873,,,-1,0.9698921735524471
quantum_lloyd_fallback,quantum_lloyd_fallback,11,0.02596416278145636,12.546252079988973,,,-1,0.9740358372185436
quantum_lloyd_fallback,quantum_lloyd_fallback,12,0.029927458883700752,13.841296004344514,,,-1,0.9700725411162993
spectral_only,spectral_only,4,0.014670283107135808,5.341575992083911,,,-1,0.9853297168928642
spectral_only,spectral_only,5,0.01647550657076017,5.459210685896586,,,-1,0.9835244934292399
spectral_only,spectral_only,6,0.01643783458382899,10.196048926413779,,,-1,0.983562165416171
spectral_only,spectral_only,7,0.018723889858428204,5.627308713881281,,,-1,0.9812761101415718
spectral_only,spectral_only,8,0.021650178804005583,5.612792241954491,,,-1,0.9783498211959945
spectral_only,spectral_only,9,0.022427260335383437,6.918010000976148,,,-1,0.9775727396646166
spectral_only,spectral_only,10,0.02663357682763701,9.115177829822365,,,-1,0.973366423172363
spectral_only,spectral_only,11,0.027299009710257893,11.65747989615511,,,-1,0.9727009902897421
spectral_only,spectral_only,12,0.029505688884985646,6.905682872800303,,,-1,0.9704943111150144
