method,k,gamma,silhouette,davies_bouldin
qlloyd_mean,5,1.25,0.6662768638729591,0.43337328575649753
qlloyd_mean,6,1.25,0.6662768638729591,0.43337328575649753
qlloyd_mean,12,1.25,0.6662768638729591,0.43337328575649753
qlloyd_mean,5,0.5,0.6662396065980933,0.4325050935822752
qlloyd_mean,6,0.5,0.6662396065980933,0.4325050935822752
qlloyd_mean,12,0.5,0.6662396065980933,0.4325050935822752
qlloyd_mean,5,1.0,0.6662396065980933,0.4325050935822752
qlloyd_mean,6,1.0,0.6662396065980933,0.4325050935822752
qlloyd_mean,12,1.0,0.6662396065980933,0.4325050935822752
qlloyd_mean,5,0.75,0.6662396055750724,0.43250509002744375
qlloyd_mean,6,0.75,0.6662396055750724,0.43250509002744375
qlloyd_mean,12,0.75,0.6662396055750724,0.43250509002744375
qlloyd_mean,5,1.5,0.6634232131263157,0.43948633802013815
qlloyd_mean,6,1.5,0.6634232131263157,0.43948633802013815
qlloyd_mean,12,1.5,0.6634232131263157,0.43948633802013815
qlloyd_mean,5,1.75,0.6593242742595904,0.44867195678970134
qlloyd_mean,6,1.75,0.6593242742595904,0.44867195678970134
qlloyd_mean,12,1.75,0.6593242742595904,0.44867195678970134
qlloyd_mean,6,2.0,0.6549620593702152,0.4578847347630288
qlloyd_mean,6,2.25,0.6511981770462733,0.46531868377133717
qlloyd_mean,6,2.5,0.6481216237544452,0.47226819871696646
qlloyd_mean,6,3.0,0.6438414434017998,0.48263185061222663
qlloyd_mean,6,4.0,0.6395093603151987,0.493832236638966
qlloyd_mean,6,5.0,0.6373080427036094,0.5005986919917194
qlloyd_mean,6,6.0,0.635927686095929,0.5034093477895021
qlloyd_mean,6,7.0,0.6349130357235185,0.5054174102973675
qlloyd_mean,6,8.0,0.6340869585144105,0.5075405971384301
agglo_average,12,2.5,0.5756055289207558,7.338107192334075
agglo_average,12,2.25,0.5751094947685871,14.347004820197059
agglo_average,11,2.5,0.5742314258447915,6.72958669346741
agglo_average,11,2.25,0.5736134786026112,12.170333643379623
agglo_average,10,2.5,0.5726885708502497,14.943654759947986
agglo_average,12,2.0,0.5719382121265342,15.471239221306563
agglo_average,10,2.25,0.5717972605859206,10.926218712086843
agglo_average,9,2.5,0.5704262333530715,11.157784879387613
agglo_average,11,2.0,0.5702733879576453,10.377688047489059
agglo_average,12,1.75,0.5699750792756327,11.948405564956891
agglo_average,9,2.25,0.5693580732171172,9.975290632623521
agglo_average,10,3.0,0.5687756412110965,12.492912252385477
agglo_average,10,2.0,0.5687654811754896,10.780185509860218
agglo_average,12,6.0,0.5674746322161288,32.24176310788597
qlloyd_medoid,10,2.5,0.5674247350542801,7.897289003275901
agglo_average,11,1.75,0.5672148469541524,11.708494993482093
agglo_average,12,3.0,0.5671341664418318,21.417219367552487
agglo_average,9,3.0,0.5668687431495972,10.786371790289897
qlloyd_medoid,11,2.25,0.5668386016012587,8.542572885077142
agglo_average,9,2.0,0.56671876445591,10.550596281221383
agglo_average,8,2.5,0.566642297905413,12.699981503855113
agglo_average,12,4.0,0.5663408287564115,9.74614327399666
agglo_average,11,4.0,0.5663382184820044,8.650611807370197
qlloyd_medoid,11,2.0,0.5661488487982905,8.817609216120093
agglo_average,12,5.0,0.5660832575685396,4.9667799249347215
agglo_average,12,1.5,0.5659288927500137,9.28101429409378
agglo_average,11,6.0,0.5659166934174129,11.247256104972395
qlloyd_medoid,12,2.5,0.5657424599051578,11.606134006600904
agglo_average,10,4.0,0.5657239989589704,5.581010292413595
agglo_average,8,2.25,0.5656174162975841,9.207091664083169
agglo_average,10,1.75,0.5655487724973515,9.277631558482378
qlloyd_medoid,11,2.5,0.5654655488015891,8.13990224974198
agglo_average,10,6.0,0.5651992079409911,6.367697786031087
qlloyd_medoid,8,3.0,0.5650569495629902,9.166129271742651
agglo_average,8,3.0,0.5650538704644873,7.6941534099353035
agglo_average,9,5.0,0.5650367596123443,11.019762538012749
agglo_average,11,3.0,0.5648283840217213,11.403269606380507
qlloyd_medoid,10,2.25,0.5648094388230044,111.38805975188284
qlloyd_medoid,12,2.25,0.5647916320731309,10.016118753922113
agglo_average,9,6.0,0.5645336536331645,6.616975529773438
agglo_average,7,5.0,0.564528071339606,4.024702625502202
agglo_average,8,2.0,0.5643024793291275,8.415322973518364
agglo_average,8,5.0,0.5642782976817108,3.9702292276085593
qlloyd_medoid,11,1.75,0.5642120024607654,9.252049927334745
agglo_average,11,1.5,0.5641823715620132,13.319830755238648
qlloyd_medoid,10,2.0,0.5641239838909905,7.512361255623996
agglo_average,7,2.25,0.5640681345706064,8.325840651434236
qlloyd_mean,11,5.0,0.5637416146825471,3.1658249258714912
qlloyd_medoid,7,4.0,0.5637032886133883,5.573783334302085
qlloyd_medoid,12,1.75,0.5632687317631019,10.257062140003656
