dataset,variant,sparsity_level,rmse_hybrid,hr10_hybrid,rmse_classical,hr10_classical
amazon,full,0.8,0.8740692157701195,0.2,0.8876358220014007,0.32
amazon,full,0.9,0.7600761974017927,0.12,0.519398046581735,0.24
amazon,full,0.95,0.9152720374321897,0.24,0.6398865404710682,0.32
amazon,full,0.99,0.8100121554990689,0.0,0.7003403018695815,0.28
amazon,without_mmr,0.8,0.8740692157701195,0.32,0.8876358220014007,0.32
amazon,without_mmr,0.9,0.7600761974017927,0.24,0.519398046581735,0.24
amazon,without_mmr,0.95,0.9152720374321897,0.32,0.6398865404710682,0.32
amazon,without_mmr,0.99,0.8100121554990689,0.28,0.7003403018695815,0.28
amazon,without_novelty,0.8,0.8740692157701195,0.16,0.8876358220014007,0.32
amazon,without_novelty,0.9,0.7600761974017927,0.12,0.519398046581735,0.24
amazon,without_novelty,0.95,0.9152720374321897,0.16,0.6398865404710682,0.32
amazon,without_novelty,0.99,0.8100121554990689,0.0,0.7003403018695815,0.28
amazon,without_shrinkage,0.8,0.8876358220014007,0.32,0.8876358220014007,0.32
amazon,without_shrinkage,0.9,0.519398046581735,0.16,0.519398046581735,0.24
amazon,without_shrinkage,0.95,0.6398865404710682,0.16,0.6398865404710682,0.32
amazon,without_shrinkage,0.99,0.7003403018695815,0.24,0.7003403018695815,0.28
amazon,without_dwave,0.8,0.8740692157701195,0.2,0.8876358220014007,0.32
amazon,without_dwave,0.9,0.7600761974017927,0.12,0.519398046581735,0.24
amazon,without_dwave,0.95,0.9152720374321897,0.24,0.6398865404710682,0.32
amazon,without_dwave,0.99,0.8100121554990689,0.0,0.7003403018695815,0.28
ubcf,full,0.8,0.753268018619806,0.08,0.8501732707398912,0.08
ubcf,full,0.9,0.90817146632083,0.0,0.8376905906743553,0.0
ubcf,full,0.95,1.1171001648616037,0.0,1.2379321426958891,0.0
ubcf,full,0.99,0.774770675795529,0.04,0.68662869434635,0.08
ubcf,without_mmr,0.8,0.753268018619806,0.04,0.8501732707398912,0.08
ubcf,without_mmr,0.9,0.90817146632083,0.0,0.8376905906743553,0.0
ubcf,without_mmr,0.95,1.1171001648616037,0.0,1.2379321426958891,0.0
ubcf,without_mmr,0.99,0.774770675795529,0.08,0.68662869434635,0.08
ubcf,without_novelty,0.8,0.753268018619806,0.12,0.8501732707398912,0.08
ubcf,without_novelty,0.9,0.90817146632083,0.0,0.8376905906743553,0.0
ubcf,without_novelty,0.95,1.1171001648616037,0.0,1.2379321426958891,0.0
ubcf,without_novelty,0.99,0.774770675795529,0.08,0.68662869434635,0.08
ubcf,without_shrinkage,0.8,0.7916705778712001,0.04,0.8501732707398912,0.08
ubcf,without_shrinkage,0.9,0.8172870977902439,0.0,0.8376905906743553,0.0
ubcf,without_shrinkage,0.95,1.2379321426958891,0.0,1.2379321426958891,0.0
ubcf,without_shrinkage,0.99,0.7540817523372779,0.04,0.68662869434635,0.08
ubcf,without_dwave,0.8,0.753268018619806,0.08,0.8501732707398912,0.08
ubcf,without_dwave,0.9,0.90817146632083,0.0,0.8376905906743553,0.0
ubcf,without_dwave,0.95,1.1171001648616037,0.0,1.2379321426958891,0.0
ubcf,without_dwave,0.99,0.774770675795529,0.04,0.68662869434635,0.08
