dataset,variant,rmse_hybrid_mean,hr10_hybrid_mean,rmse_classical_mean,hr10_classical_mean,hr10_delta_vs_classical,rmse_delta_vs_classical
amazon,full,0.8398574015257927,0.14,0.6868151777309464,0.29000000000000004,-0.15000000000000002,0.15304222379484633
amazon,without_dwave,0.8398574015257927,0.14,0.6868151777309464,0.29000000000000004,-0.15000000000000002,0.15304222379484633
amazon,without_mmr,0.8398574015257927,0.29000000000000004,0.6868151777309464,0.29000000000000004,0.0,0.15304222379484633
amazon,without_novelty,0.8398574015257927,0.11,0.6868151777309464,0.29000000000000004,-0.18000000000000005,0.15304222379484633
amazon,without_shrinkage,0.6868151777309464,0.22,0.6868151777309464,0.29000000000000004,-0.07000000000000003,0.0
ubcf,full,0.8883275813994422,0.03,0.9031061746141213,0.04,-0.010000000000000002,-0.014778593214679114
ubcf,without_dwave,0.8883275813994422,0.03,0.9031061746141213,0.04,-0.010000000000000002,-0.014778593214679114
ubcf,without_mmr,0.8883275813994422,0.03,0.9031061746141213,0.04,-0.010000000000000002,-0.014778593214679114
ubcf,without_novelty,0.8883275813994422,0.05,0.9031061746141213,0.04,0.010000000000000002,-0.014778593214679114
ubcf,without_shrinkage,0.9002428926736528,0.02,0.9031061746141213,0.04,-0.02,-0.002863281940468587
