latent_feature,feature_idx,variance,variance_share_pct,selected_by_qubo
latent_00,0,0.0791466012597084,10.634399358397552,1
latent_01,1,0.06696842610836029,8.998099429472132,1
latent_02,2,0.049609921872615814,6.665753335397766,1
latent_03,3,0.04211954027414322,5.659320867077732,1
latent_04,4,0.032143305987119675,4.318881002161444,1
latent_05,5,0.030809322372078896,4.139642547520129,1
latent_06,6,0.02596529945731163,3.488783592656982,0
latent_07,7,0.024999920278787613,3.35907205036322,1
latent_08,8,0.02268541231751442,3.0480870985570867,1
latent_09,9,0.022286061197519302,2.9944289600311387,1
latent_10,10,0.021261276677250862,2.8567355193604738,0
latent_11,11,0.020760783925652504,2.78948765638509,1
latent_12,12,0.019661666825413704,2.6418066441931796,1
latent_13,13,0.01912539266049862,2.569751072070951,0
latent_14,14,0.017998935654759407,2.4183965796678284,1
latent_15,15,0.017844581976532936,2.397657108476745,0
latent_16,16,0.017540931701660156,2.35685765231705,0
latent_17,17,0.017517540603876114,2.3537147469830537,0
latent_18,18,0.017229760065674782,2.3150476011789607,0
latent_19,19,0.015770813450217247,2.1190187041142905,0
latent_20,20,0.015276920981705189,2.052657677024479,0
latent_21,21,0.014798371121287346,1.9883581335495848,0
latent_22,22,0.014388428069651127,1.9332768280239732,0
latent_23,23,0.014293503947556019,1.9205225087349835,0
latent_24,24,0.013712866231799126,1.8425061030570566,1
latent_25,25,0.01344858668744564,1.8069966285859016,0
latent_26,26,0.013061922043561935,1.7550430869885927,1
latent_27,27,0.012978484854102135,1.7438321899957296,1
latent_28,28,0.0128983398899436,1.7330636472931866,1
latent_29,29,0.012791183777153492,1.7186657972406711,0
latent_30,30,0.012697534635663033,1.7060827885665184,0
latent_31,31,0.012459153309464455,1.6740530844221582,0
