term_idx,term_name,nnz_items,sum_tfidf,avg_tfidf_when_present
1233,tfidf_term_01233,3906695,584508.8125,0.1496172116072537
96,tfidf_term_00096,1324653,219114.09375,0.16541244669358693
1303,tfidf_term_01303,990644,448595.09375,0.45283178795813633
1362,tfidf_term_01362,867314,318166.8125,0.36684155046499883
872,tfidf_term_00872,684543,95420.546875,0.1393930649718133
124,tfidf_term_00124,668740,167713.09375,0.2507896847055657
456,tfidf_term_00456,607990,100976.0625,0.16608178177272653
1483,tfidf_term_01483,586641,586641.0,1.0
442,tfidf_term_00442,521359,82298.8203125,0.15785441569532702
127,tfidf_term_00127,487865,70782.4765625,0.14508619507958145
1438,tfidf_term_01438,463987,178496.03125,0.3847005007683405
609,tfidf_term_00609,452779,55226.2421875,0.12197173938610227
1245,tfidf_term_01245,439314,173002.8125,0.3938021836317531
1016,tfidf_term_01016,426945,65669.359375,0.15381222259307406
564,tfidf_term_00564,409892,49641.4453125,0.12110859766109121
643,tfidf_term_00643,401488,65254.91015625,0.16253265391804986
114,tfidf_term_00114,378086,54875.5859375,0.14514048639066243
887,tfidf_term_00887,326541,41724.01171875,0.1277757210235468
1080,tfidf_term_01080,326393,40318.26953125,0.12352675924805373
879,tfidf_term_00879,310033,41123.1484375,0.1326411976708931
63,tfidf_term_00063,288555,38305.34765625,0.13274886124395696
1315,tfidf_term_01315,287889,153851.609375,0.5344129486538214
1443,tfidf_term_01443,271630,122864.859375,0.45232433595331883
1220,tfidf_term_01220,259161,124308.2734375,0.4796565588090029
1327,tfidf_term_01327,250562,141951.125,0.5665309384503636
1187,tfidf_term_01187,240863,33329.125,0.13837378509775267
1154,tfidf_term_01154,236975,29027.806640625,0.12249311801086613
607,tfidf_term_00607,234681,33522.31640625,0.1428420554124535
1410,tfidf_term_01410,231069,120585.7578125,0.5218603872111793
1466,tfidf_term_01466,225109,134751.734375,0.5986066055777424
730,tfidf_term_00730,221048,30252.20703125,0.13685808978705982
621,tfidf_term_00621,219216,30218.9375,0.13785005428435881
1386,tfidf_term_01386,218919,117087.4375,0.5348436522184005
1476,tfidf_term_01476,218537,83414.7265625,0.38169612725762686
166,tfidf_term_00166,209895,29874.26171875,0.1423295539138617
952,tfidf_term_00952,208303,39733.12890625,0.1907467914828399
1444,tfidf_term_01444,207549,86568.0234375,0.4170967985270948
577,tfidf_term_00577,207461,26356.16796875,0.1270415546476205
898,tfidf_term_00898,194906,26486.4453125,0.13589343228274142
647,tfidf_term_00647,191912,32290.005859375,0.16825423037316584
545,tfidf_term_00545,185007,29392.02734375,0.15886981218953877
289,tfidf_term_00289,184455,23424.947265625,0.12699545832655662
276,tfidf_term_00276,184346,24420.828125,0.13247278554999836
1193,tfidf_term_01193,181572,23714.138671875,0.13060460132550725
1264,tfidf_term_01264,181387,83642.890625,0.4611294669684156
660,tfidf_term_00660,181145,22807.46875,0.12590724971707748
783,tfidf_term_00783,179149,24143.357421875,0.13476691146406064
301,tfidf_term_00301,172637,26427.576171875,0.15308176214759872
751,tfidf_term_00751,172055,25673.318359375,0.14921576449027926
1173,tfidf_term_01173,168971,24186.3984375,0.143139346026833
1073,tfidf_term_01073,166994,21271.06640625,0.1273762315187971
1135,tfidf_term_01135,165829,22113.60546875,0.1333518592571263
640,tfidf_term_00640,165036,22760.8671875,0.13791455917193823
321,tfidf_term_00321,164033,24508.80859375,0.14941388984990825
87,tfidf_term_00087,162823,23142.35546875,0.14213198054789558
1231,tfidf_term_01231,160355,74106.7265625,0.46214166419818525
337,tfidf_term_00337,159082,31163.689453125,0.19589701822409197
1427,tfidf_term_01427,157695,75705.9609375,0.48007838509464473
1144,tfidf_term_01144,155839,20811.15234375,0.13354264557492027
1302,tfidf_term_01302,152909,91660.015625,0.5994416000693222
284,tfidf_term_00284,150397,19316.173828125,0.12843456869568542
1374,tfidf_term_01374,149859,77868.7265625,0.5196132802334195
119,tfidf_term_00119,149282,23972.654296875,0.16058636873082488
1246,tfidf_term_01246,146735,85473.2890625,0.5825010328994445
418,tfidf_term_00418,146677,24642.197265625,0.1680031447713343
1177,tfidf_term_01177,146284,20889.302734375,0.14279964134406362
1328,tfidf_term_01328,146261,72802.375,0.4977565789923493
1330,tfidf_term_01330,146051,59236.75,0.40558948586452676
1230,tfidf_term_01230,145027,65136.87890625,0.44913622226378536
88,tfidf_term_00088,143420,20444.576171875,0.14255038468745643
1236,tfidf_term_01236,141639,66705.2265625,0.4709523970269488
1072,tfidf_term_01072,141251,18521.130859375,0.1311221220336493
1015,tfidf_term_01015,140786,25717.822265625,0.1826731512055531
534,tfidf_term_00534,140208,25481.83203125,0.18174306766553977
1185,tfidf_term_01185,140130,20155.03125,0.14383095161635623
1449,tfidf_term_01449,139639,66552.8984375,0.4766068106868425
1124,tfidf_term_01124,137975,21441.8125,0.15540360572567494
1191,tfidf_term_01191,137384,21208.04296875,0.15437054510532522
1391,tfidf_term_01391,135480,51768.1171875,0.38210892521036316
1477,tfidf_term_01477,135438,55979.4140625,0.41332132830151064
448,tfidf_term_00448,133225,19279.830078125,0.144716307585851
770,tfidf_term_00770,133194,20627.96875,0.15487160645374418
279,tfidf_term_00279,132421,18339.53125,0.13849413046269096
1380,tfidf_term_01380,130690,56220.31640625,0.4301807055340883
277,tfidf_term_00277,129843,18243.337890625,0.14050305284555192
635,tfidf_term_00635,129568,19135.3125,0.14768548175475427
457,tfidf_term_00457,127363,27228.767578125,0.21378867942907281
496,tfidf_term_00496,125929,18317.998046875,0.14546290407193735
732,tfidf_term_00732,125464,23924.40234375,0.1906873871688293
500,tfidf_term_00500,125449,23580.076171875,0.18796543752341588
1169,tfidf_term_01169,125202,21330.31640625,0.1703672178259932
1077,tfidf_term_01077,125200,17894.83203125,0.14292996830071886
312,tfidf_term_00312,124960,16535.837890625,0.13232904842049456
7,tfidf_term_00007,124747,39551.4921875,0.3170536540958901
440,tfidf_term_00440,123657,16393.951171875,0.1325760059832844
365,tfidf_term_00365,122712,20015.4609375,0.1631092390108547
1125,tfidf_term_01125,121557,18819.462890625,0.1548200670518769
1415,tfidf_term_01415,119633,65527.9453125,0.5477413866784249
487,tfidf_term_00487,119527,17423.328125,0.1457689737465175
632,tfidf_term_00632,119489,16638.876953125,0.13925028206048257
727,tfidf_term_00727,115842,17142.3515625,0.14798045236183768
1433,tfidf_term_01433,113902,47588.125,0.4177988534002915
661,tfidf_term_00661,113585,15272.2822265625,0.1344568580936083
1473,tfidf_term_01473,111943,45860.2734375,0.4096752225462959
1285,tfidf_term_01285,111837,48741.9296875,0.4358300892146606
1486,tfidf_term_01486,111835,45784.24609375,0.4093910322685206
769,tfidf_term_00769,111018,17094.001953125,0.15397504866890954
629,tfidf_term_00629,110750,14968.583984375,0.1351565145316027
931,tfidf_term_00931,110401,14772.689453125,0.133809380831016
319,tfidf_term_00319,109727,16455.923828125,0.14997150954755895
1360,tfidf_term_01360,109108,43941.5234375,0.4027342031519229
476,tfidf_term_00476,109072,15867.5458984375,0.14547772020717967
1396,tfidf_term_01396,108563,43464.515625,0.4003621457126277
430,tfidf_term_00430,108249,22922.255859375,0.21175489712953469
93,tfidf_term_00093,108212,15282.341796875,0.14122594348940043
1299,tfidf_term_01299,107468,43115.91796875,0.4011977329879592
1484,tfidf_term_01484,107154,42966.890625,0.4009826103085279
1322,tfidf_term_01322,107150,42965.19921875,0.40098179392207184
165,tfidf_term_00165,106686,15092.7978515625,0.14146933854078791
741,tfidf_term_00741,106590,17335.1328125,0.1626337631344404
877,tfidf_term_00877,105075,14719.2080078125,0.14008287421187246
919,tfidf_term_00919,104451,14332.880859375,0.13722109754214895
883,tfidf_term_00883,102548,15052.0537109375,0.14678056823085286
784,tfidf_term_00784,102413,18862.041015625,0.1841762375443059
1081,tfidf_term_01081,102200,14315.8427734375,0.14007673946612034
250,tfidf_term_00250,101912,15555.6259765625,0.15263782456003708
1198,tfidf_term_01198,101632,15338.1962890625,0.1509189653756937
76,tfidf_term_00076,100817,19049.40234375,0.1889502994906613
170,tfidf_term_00170,100301,18753.59765625,0.18697318726882084
380,tfidf_term_00380,98651,13471.19140625,0.13655402789885557
915,tfidf_term_00915,98418,14046.466796875,0.1427225385282672
1384,tfidf_term_01384,97580,61754.92578125,0.632864580664583
873,tfidf_term_00873,95585,13924.1640625,0.14567310835905214
1325,tfidf_term_01325,95527,39318.4609375,0.4115952656055356
142,tfidf_term_00142,95235,16085.82421875,0.1689066437627973
798,tfidf_term_00798,94471,18096.81640625,0.19155948816303417
1436,tfidf_term_01436,93438,62207.3046875,0.6657602333900554
1119,tfidf_term_01119,93323,14197.8623046875,0.15213679698131757
651,tfidf_term_00651,92895,19018.197265625,0.20472788918267937
376,tfidf_term_00376,92109,14606.7392578125,0.15858102094054327
1369,tfidf_term_01369,92064,47629.57421875,0.5173528656016467
594,tfidf_term_00594,91106,14186.0556640625,0.15570934586155138
1211,tfidf_term_01211,90365,69386.2890625,0.7678447303989376
194,tfidf_term_00194,90255,12237.91015625,0.13559260047919783
285,tfidf_term_00285,89878,12358.7763671875,0.1375061346178987
1178,tfidf_term_01178,89429,14700.4228515625,0.1643809374091458
663,tfidf_term_00663,89254,14052.458984375,0.1574434645436059
961,tfidf_term_00961,88839,14217.3544921875,0.16003505771325094
1334,tfidf_term_01334,88641,56054.4140625,0.6323756959251362
936,tfidf_term_00936,87954,15749.0654296875,0.1790602522874173
1204,tfidf_term_01204,87801,42962.85546875,0.48932079895160646
570,tfidf_term_00570,87051,17511.677734375,0.2011657273825114
223,tfidf_term_00223,86566,14156.6611328125,0.16353604339824526
1037,tfidf_term_01037,85523,12074.8017578125,0.14118777121724566
1471,tfidf_term_01471,85218,42155.1171875,0.4946738621828722
1499,tfidf_term_01499,85206,42126.99609375,0.49441349310787974
868,tfidf_term_00868,85194,12151.11328125,0.14262874476195506
1320,tfidf_term_01320,84156,47688.0,0.5666619135890489
330,tfidf_term_00330,84069,11869.181640625,0.14118380902145855
611,tfidf_term_00611,83859,13699.4560546875,0.1633629789848138
247,tfidf_term_00247,83760,15308.2705078125,0.18276349698916547
371,tfidf_term_00371,83064,12052.7001953125,0.1451013699714979
627,tfidf_term_00627,81870,11959.95703125,0.14608473227372665
976,tfidf_term_00976,81844,13535.4501953125,0.16538109324217415
259,tfidf_term_00259,81756,12303.5595703125,0.15049121251421915
1145,tfidf_term_01145,80886,13052.505859375,0.16136915979743094
479,tfidf_term_00479,79852,10959.23828125,0.13724438061977157
559,tfidf_term_00559,79462,11837.8056640625,0.14897442380084192
981,tfidf_term_00981,78496,15101.888671875,0.19239055075258613
810,tfidf_term_00810,78419,11737.3017578125,0.14967420851850316
36,tfidf_term_00036,78217,14017.1416015625,0.17920837671557974
18,tfidf_term_00018,77889,10856.46875,0.13938385073630422
497,tfidf_term_00497,77649,12338.9013671875,0.15890612071227575
1308,tfidf_term_01308,77376,32804.10546875,0.42395711162052835
1260,tfidf_term_01260,76816,32533.36328125,0.4235232670439752
955,tfidf_term_00955,76670,11583.6884765625,0.1510850199108191
1071,tfidf_term_01071,76388,10503.6943359375,0.13750450772290804
1491,tfidf_term_01491,76372,34534.03125,0.4521818369297648
147,tfidf_term_00147,75842,12486.138671875,0.16463356282633634
503,tfidf_term_00503,75796,11601.7744140625,0.1530657872983073
1005,tfidf_term_01005,75746,10788.5224609375,0.14243025982807672
126,tfidf_term_00126,75502,9140.96875,0.12106922664300283
