user_idx,unique_categories_at10,category_coverage_ratio
75626,22,2.2
201170,22,2.2
222360,22,2.2
233908,22,2.2
234928,22,2.2
317374,22,2.2
356915,22,2.2
383362,22,2.2
427719,22,2.2
449701,22,2.2
599183,22,2.2
655590,22,2.2
667327,22,2.2
697625,22,2.2
784331,22,2.2
813823,22,2.2
814407,22,2.2
850140,22,2.2
868078,22,2.2
883041,22,2.2
901024,22,2.2
917683,22,2.2
926012,22,2.2
931414,22,2.2
947372,22,2.2
967971,22,2.2
973526,22,2.2
991261,22,2.2
999840,22,2.2
1063670,22,2.2
1092156,22,2.2
1178153,22,2.2
1213724,22,2.2
1299372,22,2.2
1312609,22,2.2
1317923,22,2.2
1336652,22,2.2
1438441,23,2.3
1438903,22,2.2
1443485,22,2.2
1487589,22,2.2
1559654,22,2.2
1567934,22,2.2
1588049,22,2.2
1653665,22,2.2
1657456,22,2.2
1659915,22,2.2
1700749,22,2.2
1710941,22,2.2
1719205,22,2.2
1756783,22,2.2
1804022,22,2.2
1820450,20,2.0
1848608,22,2.2
1880692,22,2.2
1939485,22,2.2
1952289,22,2.2
2005803,22,2.2
2060338,22,2.2
2075782,22,2.2
2084865,22,2.2
2209971,22,2.2
2336444,22,2.2
2339959,22,2.2
2409210,22,2.2
2458571,22,2.2
2466640,22,2.2
2527380,22,2.2
2689439,22,2.2
2713664,22,2.2
2737548,22,2.2
2749108,22,2.2
2803205,22,2.2
2840699,22,2.2
2847823,22,2.2
2849836,22,2.2
2853657,22,2.2
2897944,22,2.2
2930716,22,2.2
2969492,22,2.2
3023740,22,2.2
3035991,22,2.2
3089478,22,2.2
3105048,22,2.2
3130349,22,2.2
3151048,22,2.2
3178872,22,2.2
3216573,22,2.2
3307624,22,2.2
3354670,22,2.2
3396117,22,2.2
3399314,22,2.2
3413767,22,2.2
3441437,22,2.2
3488795,22,2.2
3526557,22,2.2
3571290,22,2.2
3577489,22,2.2
3648534,22,2.2
3724425,22,2.2
3746337,22,2.2
3771512,22,2.2
3775211,22,2.2
3814606,22,2.2
3818053,22,2.2
3923043,22,2.2
3989659,22,2.2
4142905,22,2.2
4183764,22,2.2
4205608,22,2.2
4212406,22,2.2
4229414,22,2.2
4280766,22,2.2
4302553,22,2.2
4304708,22,2.2
4447345,22,2.2
4456448,22,2.2
4469999,22,2.2
4479368,22,2.2
4494713,22,2.2
4499149,22,2.2
4516800,22,2.2
4517672,22,2.2
4524488,22,2.2
4541036,22,2.2
4563705,22,2.2
4587344,22,2.2
4592459,22,2.2
4601248,22,2.2
4601519,22,2.2
4625572,22,2.2
4635913,22,2.2
4636686,22,2.2
4691785,22,2.2
4708580,22,2.2
4723841,22,2.2
4754614,22,2.2
4765500,22,2.2
4768625,22,2.2
4804304,22,2.2
4808781,22,2.2
4833299,22,2.2
4849548,22,2.2
4854295,21,2.1
4874151,22,2.2
4896801,22,2.2
4964484,22,2.2
5009692,22,2.2
5051706,22,2.2
5072756,22,2.2
5085479,22,2.2
5096442,22,2.2
5102186,22,2.2
5119674,22,2.2
5124093,22,2.2
5150360,22,2.2
5157794,22,2.2
5197804,22,2.2
5203637,22,2.2
5281096,22,2.2
5359383,22,2.2
5419015,22,2.2
5582829,22,2.2
5611204,22,2.2
5615107,22,2.2
5626770,22,2.2
5630573,22,2.2
5698458,22,2.2
5708651,22,2.2
5719813,22,2.2
5734191,22,2.2
5756770,22,2.2
5810797,22,2.2
5818669,22,2.2
5820116,22,2.2
5854526,22,2.2
5885694,22,2.2
5915211,22,2.2
5963174,22,2.2
5982007,22,2.2
6013163,22,2.2
6049301,22,2.2
6083587,22,2.2
6205675,22,2.2
6250314,22,2.2
6304255,22,2.2
6457283,22,2.2
6472291,22,2.2
6482439,22,2.2
6488053,22,2.2
6501950,22,2.2
6533881,22,2.2
6554924,22,2.2
6627613,22,2.2
6689729,22,2.2
6736089,22,2.2
6737242,22,2.2
6799515,22,2.2
6812688,22,2.2
6827107,22,2.2
6837334,22,2.2
6842865,22,2.2
6879250,22,2.2
6893670,20,2.0
6907609,22,2.2
6974802,22,2.2
6976389,22,2.2
7023595,22,2.2
7029319,22,2.2
7036374,22,2.2
7064482,22,2.2
7167042,22,2.2
7171536,22,2.2
7177185,22,2.2
7201930,22,2.2
7207571,22,2.2
7209997,22,2.2
7246969,22,2.2
7257909,22,2.2
7378878,22,2.2
7380488,22,2.2
7384455,22,2.2
7405243,22,2.2
7427274,22,2.2
7434746,22,2.2
7572329,22,2.2
7585068,22,2.2
7651267,22,2.2
7665727,22,2.2
7796952,22,2.2
7802620,22,2.2
7807480,22,2.2
7821288,22,2.2
7833794,22,2.2
7866318,22,2.2
7873879,22,2.2
7903007,22,2.2
7941844,22,2.2
7966176,22,2.2
8012287,22,2.2
8016657,22,2.2
8032749,22,2.2
8036592,22,2.2
8045085,22,2.2
8058136,22,2.2
8069912,22,2.2
8091573,22,2.2
8100781,22,2.2
8100842,22,2.2
8122520,22,2.2
8168728,22,2.2
8183159,22,2.2
8190832,22,2.2
8202835,22,2.2
8284946,22,2.2
8286525,22,2.2
8314338,22,2.2
8325331,22,2.2
8379773,22,2.2
8458988,22,2.2
8469905,22,2.2
8520300,22,2.2
8568216,22,2.2
8572414,22,2.2
8573037,22,2.2
8645305,22,2.2
8665982,22,2.2
8749844,22,2.2
8786125,22,2.2
8803384,22,2.2
8809569,22,2.2
8819556,22,2.2
8836204,22,2.2
8839251,22,2.2
9139402,22,2.2
9193216,22,2.2
9245103,22,2.2
9271700,22,2.2
9292703,22,2.2
9322232,22,2.2
9354482,22,2.2
9447669,22,2.2
9497872,22,2.2
9525221,22,2.2
9541291,22,2.2
9656163,22,2.2
9657997,22,2.2
9680812,22,2.2
9820135,22,2.2
9868714,22,2.2
9880084,22,2.2
9902911,22,2.2
9960629,22,2.2
9978173,22,2.2
9993049,22,2.2
10044463,22,2.2
10118261,22,2.2
10190243,22,2.2
10220650,22,2.2
10255997,22,2.2
