user_idx,held_item_idx,top1_hit_hybrid,top1_hit_classical
926012,580002,0.0,0.0
6250314,2591553,0.0,0.0
7873879,4018459,0.0,0.0
8016657,303326,0.0,0.0
5734191,1361182,0.0,0.0
2840699,2360363,0.0,0.0
8645305,243276,0.0,0.0
6533881,2460665,0.0,0.0
2527380,1859198,0.0,0.0
9447669,3556558,0.0,0.0
9525221,369419,0.0,0.0
3023740,1013161,0.0,0.0
7941844,2200382,0.0,0.0
8202835,733835,0.0,0.0
3814606,1551828,0.0,0.0
7207571,133706,0.0,0.0
4563705,906392,0.0,0.0
6554924,2501807,0.0,0.0
5119674,3164194,0.0,0.0
75626,139355,0.0,0.0
4635913,2593191,0.0,0.0
1178153,956072,0.0,0.0
3216573,2707993,0.0,0.0
317374,2565126,0.0,0.0
10220650,3692906,0.0,0.0
6976389,482040,0.0,0.0
6893670,3633327,0.0,0.0
9193216,4422686,0.0,0.0
7833794,559199,0.0,0.0
5963174,2554172,0.0,0.0
4765500,272366,0.0,0.0
4625572,1883617,0.0,0.0
6205675,4319087,0.0,0.0
991261,965807,0.0,0.0
6013163,308520,0.0,0.0
5818669,2620615,0.0,0.0
3648534,3925708,0.0,0.0
4517672,133118,0.0,0.0
7405243,1074589,0.0,0.0
8749844,2863961,0.0,0.0
4469999,4173838,0.0,0.0
8803384,1566083,0.0,0.0
1299372,1795651,0.0,0.0
4142905,2403581,0.0,0.0
883041,3021599,0.0,0.0
8325331,65505,0.0,0.0
6049301,2954541,0.0,0.0
2336444,2632589,0.0,0.0
9271700,2654834,0.0,0.0
1336652,3543871,0.0,0.0
8122520,3931470,0.0,0.0
5611204,3994218,0.0,0.0
6827107,2283082,0.0,0.0
8100842,368233,0.0,0.0
6799515,1467620,0.0,0.0
8572414,1529747,0.0,0.0
2849836,2199732,0.0,0.0
2737548,1473445,0.0,0.0
9978173,387326,0.0,0.0
4833299,1440988,0.0,0.0
9139402,2771682,0.0,0.0
9880084,1855702,0.0,0.0
3724425,527249,0.0,0.0
10255997,3957381,0.0,0.0
4280766,1447941,0.0,0.0
