method,k,silhouette,davies_bouldin,objective,iters,vqe_error
vqe_adiabatic,4,0.014614048622983884,14.922084752548031,255.08604846410844,10,
vqe_adiabatic,5,0.009607776166496369,1.1456679947217652,222.6144369293171,10,
vqe_adiabatic,6,0.006013935323442878,2.6654638399363306,200.96567215026656,10,
quantum_lloyd_fallback,7,0.06777664968840177,1.706442988469173,517.7576503455639,17,VQE collapsed to <2 clusters
vqe_adiabatic,8,0.00899233728320471,1.2537387069051953,168.62210355115096,10,
quantum_lloyd_fallback,9,0.07943957590603233,3.4117974216914115,498.49730893969536,16,VQE collapsed to <2 clusters
quantum_lloyd_fallback,10,0.07997776275560872,2.7461162090788576,494.4433641731739,10,VQE collapsed to <2 clusters
vqe_adiabatic,11,-0.011034103712047404,1.723718309345444,140.78309424318604,10,
vqe_adiabatic,12,-0.010277564397885183,4.432732455991442,134.60918417987997,10,
vqe_adiabatic,13,0.016961661405598575,0.8940214520506142,127.38813384153181,10,
vqe_adiabatic,14,0.0050068450990121026,1.1888000035402568,120.9973615109463,10,
vqe_adiabatic,15,0.0006379517831579288,0.9819112815572956,117.30232137530783,10,
vqe_adiabatic,16,0.023557144234085226,1.1655226201926105,112.4035240420902,10,
