method,k,gamma,silhouette,davies_bouldin
qlloyd_mean,10,5.0,0.10062520940392719,2.717651587868803
qlloyd_mean,11,4.0,0.10028132295549134,2.693915590925839
qlloyd_mean,12,4.0,0.10001311760203496,3.636097989251706
qlloyd_mean,10,4.0,0.09935054317951403,2.6461981247542044
qlloyd_mean,12,5.0,0.09888612554879593,4.127253297546356
agglo_average,12,4.0,0.09702261358450913,6.00454241042294
qlloyd_mean,12,6.0,0.09610982332103961,3.625822916165745
agglo_average,12,5.0,0.0959567843637663,8.302405036890598
qlloyd_mean,9,4.0,0.09440556473188234,3.4966872766727417
qlloyd_mean,12,3.0,0.09401705875386196,2.896570630719865
qlloyd_mean,8,4.0,0.09359998869559899,2.932311386550338
qlloyd_mean,11,5.0,0.09355046769022263,3.800328187058729
qlloyd_mean,8,5.0,0.09286080510968935,4.648715005839115
agglo_average,11,5.0,0.09239390885031279,3.4690161454490114
agglo_average,11,4.0,0.0919136947458616,6.11528120107115
qlloyd_mean,11,6.0,0.09125863043157373,4.064187816844785
qlloyd_mean,9,5.0,0.08982841729227765,1.8776739745983744
qlloyd_mean,9,3.0,0.08915880322070345,11.897653477179139
qlloyd_mean,10,3.0,0.08893650808412826,3.545580029195039
qlloyd_mean,11,3.0,0.0888774669634347,3.926742021089099
agglo_average,10,4.0,0.08867890825870958,6.41823430587974
agglo_average,10,5.0,0.0880621928848607,2.9753562133872444
agglo_average,12,3.0,0.08766511596998833,5.213362294552641
qlloyd_mean,8,6.0,0.08749162664368336,3.3694429972447044
qlloyd_mean,10,7.0,0.08695302239076769,2.4544406741690845
qlloyd_mean,11,7.0,0.086492343736268,3.1988753045781575
qlloyd_mean,9,6.0,0.08519497005720143,2.5615064140212898
qlloyd_mean,8,7.0,0.08490225703367947,4.176822212495061
agglo_average,12,6.0,0.08481178781527639,3.6392661378270734
agglo_average,9,4.0,0.08439627386955381,5.593902053210795
agglo_average,10,6.0,0.08360351378820828,3.3458059358681553
agglo_average,11,3.0,0.08348852752248995,4.742212314596085
qlloyd_medoid,12,3.0,0.0833206628739141,5.299021508310886
qlloyd_mean,9,7.0,0.08323231438763877,3.6506111328701687
qlloyd_mean,7,6.0,0.08284655198108841,1.7907591728526993
qlloyd_mean,7,7.0,0.08271207596614141,1.5151088894160274
qlloyd_mean,7,8.0,0.08244657818028238,1.4643074950289747
qlloyd_mean,10,2.5,0.08185581670463585,3.6137387983027667
qlloyd_mean,12,7.0,0.08183270998121506,3.3743478792656183
agglo_average,9,5.0,0.0815320937514809,3.01929856280337
agglo_average,11,6.0,0.08096214027214606,3.314531966185578
agglo_average,9,6.0,0.08081201314689267,4.022707234252815
qlloyd_mean,8,3.0,0.08073588903674173,3.9568429122736273
agglo_average,12,7.0,0.08067263522162388,6.216025808688492
qlloyd_medoid,8,5.0,0.08043304465219758,2.4897006362922838
qlloyd_medoid,9,4.0,0.08027402546632961,3.6646427337045924
qlloyd_medoid,8,4.0,0.08014067602627455,5.220372851197061
qlloyd_mean,10,8.0,0.07983013481795598,3.4887886902681964
agglo_average,10,3.0,0.0797080220784649,2.903329816163161
qlloyd_mean,11,8.0,0.07957561076161786,5.167113735655369
qlloyd_mean,7,3.0,0.07928009551517415,1.5502155831261515
agglo_average,11,7.0,0.07879914787441622,5.629773070697648
qlloyd_medoid,9,5.0,0.07870671923424714,3.4034311848764
qlloyd_mean,12,2.5,0.07869625084236258,7.519000341183099
agglo_average,8,4.0,0.07859362557445247,6.377547133483815
qlloyd_mean,9,8.0,0.07849127297646813,3.2252144634578945
qlloyd_mean,8,8.0,0.07813042869582468,1.235398342223178
agglo_average,8,6.0,0.07812668551303424,3.513819554170139
qlloyd_mean,11,2.5,0.07777997277517562,4.864012962413376
qlloyd_mean,7,4.0,0.07753694951777068,2.47875731002421
agglo_average,8,5.0,0.07724263736009346,2.746442349827777
qlloyd_mean,12,2.25,0.07637774332325774,14.06329446635368
agglo_average,9,3.0,0.07634791683341992,3.847130614737916
agglo_average,9,7.0,0.07630768085549507,3.1354238634130316
agglo_average,10,7.0,0.07608465279016785,3.0324866982123475
qlloyd_mean,6,4.0,0.07596970265794349,1.7151136693861206
qlloyd_mean,7,5.0,0.0759037754845418,3.10771838353411
qlloyd_medoid,11,4.0,0.07562168805943494,4.088385352555954
qlloyd_mean,11,2.25,0.07395395390755014,4.264284778366281
qlloyd_mean,10,6.0,0.0732362276300368,3.3158868837273374
qlloyd_medoid,7,6.0,0.07313778426487705,2.027355306827004
qlloyd_medoid,9,3.0,0.07312953239319754,2.585655742794779
agglo_average,8,3.0,0.0727156868840585,2.7212166800314375
qlloyd_mean,12,8.0,0.07253253187347344,3.510275872941683
agglo_average,7,6.0,0.07232683591985202,3.8348585604351695
agglo_average,12,2.5,0.07217699523382917,6.95772664988687
qlloyd_mean,5,8.0,0.07152307167012882,1.092871847691535
qlloyd_medoid,6,5.0,0.07139587111949497,1.9771796469438545
agglo_average,7,5.0,0.0713846473919149,2.0779651853688867
qlloyd_medoid,11,5.0,0.0713564331167914,2.708476430579557
qlloyd_medoid,6,8.0,0.07058146768608432,1.512650085493777
qlloyd_medoid,6,7.0,0.07034008519233614,1.5941747814205274
qlloyd_mean,8,2.5,0.07004477995614247,5.6976893855534385
qlloyd_medoid,6,6.0,0.06979728175044697,1.7023813595478992
agglo_average,12,8.0,0.06965046880413028,5.257322647734136
qlloyd_mean,6,5.0,0.0696424756940963,1.5022926136763648
qlloyd_mean,5,7.0,0.06953839192408902,1.1768277852604054
qlloyd_mean,6,6.0,0.06893721256357786,1.894545411569475
qlloyd_medoid,12,2.5,0.06886016121517521,5.5920614031780325
agglo_average,11,2.5,0.06873732056725759,5.944864989405371
qlloyd_mean,4,8.0,0.06870662372655012,0.8719475216578879
agglo_average,12,2.25,0.06856080004377713,9.679046598097196
qlloyd_medoid,7,5.0,0.06822945581731556,2.867627468076289
agglo_average,7,3.0,0.06815918193800447,2.205809426826488
agglo_average,8,8.0,0.06803934185741105,3.4365189980321116
qlloyd_mean,5,6.0,0.0680221474754009,1.5746074268638857
qlloyd_mean,4,7.0,0.06779587482807109,0.8671284124323605
agglo_average,11,8.0,0.06777520195959147,4.874559841941685
qlloyd_mean,7,2.5,0.06747736476710092,3.4858178115526663
agglo_average,9,8.0,0.06732954159487592,5.625718027718569
qlloyd_mean,9,2.5,0.06711679375188712,5.98412676138367
agglo_average,8,7.0,0.06665933631870892,3.4441719624597376
agglo_average,11,2.25,0.06652452168744576,8.63687658634211
agglo_average,7,4.0,0.06651415748694908,3.8690073547913237
qlloyd_mean,6,7.0,0.06647249442587172,1.3349771918561093
qlloyd_medoid,6,4.0,0.0664515785424598,7.891547704305733
agglo_average,6,6.0,0.0660591708510825,3.4451441171813055
qlloyd_medoid,7,4.0,0.06598833692440045,5.259096235613456
qlloyd_medoid,11,6.0,0.06597564650611178,3.1543529745790675
qlloyd_mean,10,2.25,0.06592505913574641,4.677249273026549
qlloyd_medoid,12,4.0,0.06577351037540052,13.34589890206969
qlloyd_mean,4,6.0,0.0657590424718312,0.887452769209146
agglo_average,10,2.5,0.06555456607473703,8.385883032508342
qlloyd_medoid,8,7.0,0.0654087569350815,1.9703052370948266
agglo_average,6,5.0,0.0652193809295206,1.8892884219770443
qlloyd_medoid,8,3.0,0.06514528767863687,3.769361561363981
qlloyd_medoid,9,6.0,0.06497069432102913,4.124644833761781
qlloyd_medoid,8,6.0,0.06488889992510305,2.275710644134511
qlloyd_mean,6,8.0,0.06428041837429456,1.0031696260663352
agglo_average,7,8.0,0.06425924752525786,3.442331729776515
qlloyd_medoid,4,8.0,0.06348176061624151,6.725358213792897
agglo_average,6,3.0,0.063465002515526,2.021655074297422
agglo_average,6,8.0,0.06344232136368268,1.965088490272434
agglo_average,10,2.25,0.06338753210764331,8.726210800524516
qlloyd_medoid,10,6.0,0.06334179330815257,5.07202937319587
agglo_average,7,7.0,0.06326457319444949,2.3847247811098136
qlloyd_mean,5,4.0,0.06321603542962682,3.643706506329038
agglo_average,10,8.0,0.06313706243661653,5.2229670600579805
qlloyd_medoid,7,3.0,0.0628551625969306,2.703212893614404
agglo_average,9,2.5,0.06280519705894769,10.647746470774301
qlloyd_mean,8,2.25,0.0627777975753305,4.38761687273852
agglo_average,6,4.0,0.06258368664549463,5.507005100799934
qlloyd_mean,4,5.0,0.0623351975499531,1.0129922701798364
qlloyd_medoid,10,3.0,0.06226628023211829,3.691445283284724
qlloyd_medoid,11,7.0,0.0618758717003419,2.6247738388799795
qlloyd_medoid,10,4.0,0.06170981477160848,3.8356500257843065
qlloyd_medoid,4,7.0,0.06134225275119988,3.4136475686953838
agglo_average,5,5.0,0.06126417281003416,1.7462976793530594
qlloyd_mean,9,2.25,0.06112010756394971,5.023486893397932
qlloyd_medoid,9,7.0,0.06070870142237867,3.4207668478855915
qlloyd_medoid,12,5.0,0.060550851065178296,3.9075357921313576
agglo_average,8,2.5,0.06015835922134952,7.226895298551249
agglo_average,9,2.25,0.05988358127594218,5.072601667331579
qlloyd_medoid,4,6.0,0.0598626338646638,2.709529045471972
agglo_average,6,7.0,0.059605207898003096,2.579603988233534
qlloyd_mean,7,2.25,0.059568926107795725,3.522361053695353
qlloyd_medoid,4,5.0,0.05867471105543871,1.918528466596289
qlloyd_medoid,12,2.25,0.05859228617178132,6.661636601903321
qlloyd_medoid,11,8.0,0.058414156462291554,3.0900228507561
qlloyd_medoid,10,5.0,0.05803703217905378,4.872797689577394
agglo_average,5,3.0,0.05792800296107737,1.9972514224202733
qlloyd_mean,12,2.0,0.05791574905132217,23.857180467924806
qlloyd_medoid,10,7.0,0.057870198476742324,4.981781018454216
qlloyd_mean,5,3.0,0.057803697171571376,2.2253413425164448
qlloyd_mean,5,5.0,0.057717193877352,9.730115975063697
agglo_average,5,4.0,0.05767983305916185,1.8820089683952148
agglo_average,8,2.25,0.057506160133485765,4.502078756047569
qlloyd_medoid,8,8.0,0.057155662382649124,1.8969103982245317
agglo_average,5,7.0,0.05685544035890569,2.601925672459571
qlloyd_medoid,10,8.0,0.05684130911808134,3.3744001583941503
qlloyd_medoid,9,8.0,0.056816320038769505,2.997164596172234
agglo_average,4,5.0,0.05656720840679941,1.4748330245147363
qlloyd_mean,11,2.0,0.056493764694544354,4.838941296537372
agglo_average,12,2.0,0.05639567599373678,11.640765237344446
qlloyd_medoid,6,3.0,0.0563630609200202,3.7845518868084405
agglo_average,7,2.5,0.05626432358766478,4.114338730375089
qlloyd_medoid,7,8.0,0.056116630184303774,3.255528407360607
qlloyd_medoid,5,4.0,0.056041222040309605,1.762717452222077
qlloyd_medoid,7,7.0,0.05552987131189422,3.4693796956480005
qlloyd_medoid,12,6.0,0.05514459614844498,3.8639774482846145
agglo_average,11,2.0,0.05483601349729578,11.034259917293147
agglo_average,7,2.25,0.05455811849437274,3.94622994228611
qlloyd_medoid,9,2.5,0.0541187065729021,7.20833426909898
qlloyd_medoid,10,2.5,0.05382142464364776,6.741784742186387
agglo_average,5,6.0,0.05375155674182163,3.719111057268742
qlloyd_mean,6,3.0,0.0536665354086108,6.143491547916352
qlloyd_medoid,12,7.0,0.053496200804644574,3.545117883093407
agglo_average,6,2.5,0.053384144881195666,3.7665506337316192
qlloyd_medoid,4,4.0,0.052510702108185446,2.2192154703624336
agglo_average,10,2.0,0.0524196046767583,9.820121022435266
agglo_average,4,7.0,0.05231387528433185,1.5420788218268084
agglo_average,5,8.0,0.051898164525242034,1.9128375468591723
qlloyd_mean,9,2.0,0.05164288417445535,6.479356435551574
qlloyd_medoid,11,3.0,0.05156986231893792,6.391697416539247
agglo_average,4,8.0,0.051420994758013726,1.4254791736756949
agglo_average,4,4.0,0.05128643980040426,2.015085610981825
qlloyd_mean,8,2.0,0.05125793012743316,5.104431726964746
qlloyd_medoid,6,2.5,0.0510476175324795,2.955795335226193
agglo_average,9,2.0,0.05048287158570286,7.1718494662412855
qlloyd_medoid,10,2.25,0.05038447118716105,8.358395918146304
