iteration,error,relative_error,iter_time,nnls_time,qubo_build_time,annealing_time,postprocess_time,cumulative_time,method,data_source,matrix_size,rank,seed
1,2.0383465890949934e-15,1.316655174361487e-16,0.008110499999929743,0.0001592919998074649,0.00011045799965359038,0.007799624999734078,1.2707000223599607e-05,0.008110499999929743,NBMF_SA,synthetic,20x20,2,42
2,2.0383465890949934e-15,1.316655174361487e-16,0.0072726660000626,0.00010345800001232419,8.933199978855555e-05,0.007052081998608628,1.0872001439565793e-05,0.015383165999992343,NBMF_SA,synthetic,20x20,2,42
3,2.0383465890949934e-15,1.316655174361487e-16,0.006191334000050119,0.00010216600003332132,7.528999958594795e-05,0.0059924550000687304,9.000999853014946e-06,0.021574500000042462,NBMF_SA,synthetic,20x20,2,42
4,2.0383465890949934e-15,1.316655174361487e-16,0.007175582999934704,9.133300000030431e-05,9.44600005823304e-05,0.0069644579994019296,1.1667999842757126e-05,0.028750082999977167,NBMF_SA,synthetic,20x20,2,42
5,2.0383465890949934e-15,1.316655174361487e-16,0.006689332999940234,9.39170004130574e-05,8.558000035918667e-05,0.0064853309982026985,9.54100096350885e-06,0.0354394159999174,NBMF_SA,synthetic,20x20,2,42
6,2.0383465890949934e-15,1.316655174361487e-16,0.006586667000192392,0.0001031249998959538,7.904199992481153e-05,0.006378538000262779,9.372999556944706e-06,0.04202608300010979,NBMF_SA,synthetic,20x20,2,42
7,2.0383465890949934e-15,1.316655174361487e-16,0.006886707999910868,9.7707999884733e-05,8.600000001024455e-05,0.0066792050015465065,1.0373998065915657e-05,0.04891279100002066,NBMF_SA,synthetic,20x20,2,42
8,2.0383465890949934e-15,1.316655174361487e-16,0.006375082999966253,9.474999978920096e-05,7.554400008302764e-05,0.006183084000895178,9.207999028149061e-06,0.055287873999986914,NBMF_SA,synthetic,20x20,2,42
9,2.0383465890949934e-15,1.316655174361487e-16,0.006876291000025958,9.133399998972891e-05,8.762400057094055e-05,0.006669452999631176,1.0042000212706625e-05,0.06216416500001287,NBMF_SA,synthetic,20x20,2,42
10,2.0383465890949934e-15,1.316655174361487e-16,0.0071177079998960835,0.00010083300003316253,8.504100014761207e-05,0.006907119000970852,1.0038000255008228e-05,0.06928187299990896,NBMF_SA,synthetic,20x20,2,42
11,2.0383465890949934e-15,1.316655174361487e-16,0.006403041999874404,0.00010141699976884411,8.054299905779772e-05,0.006197541000346973,9.498000054009026e-06,0.07568491499978336,NBMF_SA,synthetic,20x20,2,42
12,2.0383465890949934e-15,1.316655174361487e-16,0.006729457999881561,9.562499963067239e-05,8.474599962937646e-05,0.0065238339989264205,1.0419000318506733e-05,0.08241437299966492,NBMF_SA,synthetic,20x20,2,42
