method,matrix_size,n,m,rank,seed,h_recovery_rate,final_error,final_relative_error,total_runtime
NBMF_Exact,8x8,8,8,2,42,1.0,9.064357607684615e-16,1.62660922646824e-16,0.024207666000165773
NBMF_SA,8x8,8,8,2,42,1.0,9.064357607684615e-16,1.62660922646824e-16,0.04940666599986798
NBMF_PathIntegral,8x8,8,8,2,42,1.0,9.064357607684615e-16,1.62660922646824e-16,0.08806391699999949
NBMF_Exact,8x8,8,8,2,43,1.0,2.0776165401386975e-16,8.625120688158874e-17,0.01046600000017861
NBMF_SA,8x8,8,8,2,43,1.0,2.0776165401386975e-16,8.625120688158874e-17,0.04118754199998875
NBMF_PathIntegral,8x8,8,8,2,43,1.0,2.0776165401386975e-16,8.625120688158874e-17,0.08780433400033871
NBMF_Exact,8x8,8,8,2,44,1.0,6.952757841613616e-16,1.5536849759885627e-16,0.010580207999737468
NBMF_SA,8x8,8,8,2,44,1.0,6.952757841613616e-16,1.5536849759885627e-16,0.040173500000037166
NBMF_PathIntegral,8x8,8,8,2,44,1.0,6.952757841613616e-16,1.5536849759885627e-16,0.08734320800022033
NBMF_Exact,8x8,8,8,4,42,1.0,2.4585236499706284e-15,2.2463838691335346e-16,0.011801582999851234
NBMF_SA,8x8,8,8,4,42,1.0,2.4585236499706284e-15,2.2463838691335346e-16,0.05553825000015422
NBMF_PathIntegral,8x8,8,8,4,42,1.0,2.4585236499706284e-15,2.2463838691335346e-16,0.20874854099974982
NBMF_Exact,8x8,8,8,4,43,1.0,1.7746212680631347e-15,1.9554321918031293e-16,0.012735875000089436
NBMF_SA,8x8,8,8,4,43,1.0,1.7746212680631347e-15,1.9554321918031293e-16,0.053157082999859995
NBMF_PathIntegral,8x8,8,8,4,43,1.0,1.7746212680631347e-15,1.9554321918031293e-16,0.20999145899986615
NBMF_Exact,8x8,8,8,4,44,1.0,1.5730336272784255e-15,1.4302487719201612e-16,0.012644292000004498
NBMF_SA,8x8,8,8,4,44,1.0,1.5730336272784255e-15,1.4302487719201612e-16,0.053106750000097236
NBMF_PathIntegral,8x8,8,8,4,44,1.0,1.5730336272784255e-15,1.4302487719201612e-16,0.2232585410001775
