iteration,error,relative_error,iter_time,method,seed,rank,tier,cumulative_time,nnls_time,qubo_build_time,annealing_time,postprocess_time
1,190.32947756689072,0.5688831936394394,0.005534583004191518,Repo_ALS,42,5,primary,0.005534583004191518,,,,
2,149.9786309140755,0.4482769753943367,0.0033043749863281846,Repo_ALS,42,5,primary,0.008838957990519702,,,,
3,146.7672820460531,0.4386784495995663,0.004018499981611967,Repo_ALS,42,5,primary,0.01285745797213167,,,,
4,144.76727445253863,0.43270054895250665,0.0033248340478166938,Repo_ALS,42,5,primary,0.016182292019948363,,,,
5,143.8798250043462,0.4300480167082365,0.0039030000334605575,Repo_ALS,42,5,primary,0.02008529205340892,,,,
6,143.63346085457005,0.42931164929886517,0.0033633330604061484,Repo_ALS,42,5,primary,0.02344862511381507,,,,
7,143.57200921041132,0.4291279740845457,0.0038274999242275953,Repo_ALS,42,5,primary,0.027276125038042665,,,,
8,143.55558942678533,0.42907889635330076,0.0035526249557733536,Repo_ALS,42,5,primary,0.030828749993816018,,,,
9,143.5505546998768,0.4290638478618141,0.00339525006711483,Repo_ALS,42,5,primary,0.03422400006093085,,,,
10,143.54873552178134,0.42905841044950166,0.003873790963552892,Repo_ALS,42,5,primary,0.03809779102448374,,,,
11,143.54796628513947,0.42905611124812154,0.0033602090552449226,Repo_ALS,42,5,primary,0.04145800007972866,,,,
12,143.547595570596,0.4290550032049739,0.003922333009541035,Repo_ALS,42,5,primary,0.0453803330892697,,,,
13,143.5473970861153,0.4290544099469735,0.0033125830814242363,Repo_ALS,42,5,primary,0.048692916170693934,,,,
14,143.54728076054965,0.4290540622569566,0.0037204590626060963,Repo_ALS,42,5,primary,0.05241337523330003,,,,
15,143.5472065933601,0.429053840575753,0.0034221250098198652,Repo_ALS,42,5,primary,0.055835500243119895,,,,
1,173.80130446547278,0.5194814928668642,0.06369366694707423,Repo_SGD,42,5,primary,0.06369366694707423,,,,
2,170.54324195600097,0.5097433428484895,0.06289933295920491,Repo_SGD,42,5,primary,0.12659299990627915,,,,
3,169.73489553859926,0.5073272447360105,0.06265662505757064,Repo_SGD,42,5,primary,0.18924962496384978,,,,
4,168.83124712007336,0.5046262947579516,0.06080674997065216,Repo_SGD,42,5,primary,0.25005637493450195,,,,
5,167.07088732166764,0.4993646867460263,0.06078154197894037,Repo_SGD,42,5,primary,0.3108379169134423,,,,
6,163.9652544144131,0.4900821395067013,0.061633832985535264,Repo_SGD,42,5,primary,0.3724717498989776,,,,
7,159.74774454543714,0.4774762598808001,0.06024662498384714,Repo_SGD,42,5,primary,0.4327183748828247,,,,
8,155.19613727402626,0.4638717835072299,0.06141850003041327,Repo_SGD,42,5,primary,0.494136874913238,,,,
9,151.1159921373424,0.4516764786835019,0.06192733393982053,Repo_SGD,42,5,primary,0.5560642088530585,,,,
10,147.97707090650113,0.4422944346763877,0.06182158400770277,Repo_SGD,42,5,primary,0.6178857928607613,,,,
11,145.86849281826247,0.4359920234460843,0.06021983304526657,Repo_SGD,42,5,primary,0.6781056259060279,,,,
12,144.44319347597664,0.4317318906905221,0.060697542037814856,Repo_SGD,42,5,primary,0.7388031679438427,,,,
13,143.46591131764742,0.4288108539576714,0.06028029101435095,Repo_SGD,42,5,primary,0.7990834589581937,,,,
14,142.83173645351792,0.4269153439891482,0.06066883401945233,Repo_SGD,42,5,primary,0.859752292977646,,,,
15,142.38459643090238,0.42557886974815656,0.0633479580283165,Repo_SGD,42,5,primary,0.9231002510059625,,,,
1,165.14805243602154,0.49361745061334034,0.05862983304541558,NBMF_SA,42,5,primary,0.05862983304541558,0.0008557080291211605,0.0008836598135530949,0.05455000337678939,5.12909609824419e-05
2,159.5286922821461,0.47682152603343186,0.053204249939881265,NBMF_SA,42,5,primary,0.11183408298529685,0.0008305000374093652,0.0008214078843593597,0.05143312562722713,4.821282345801592e-05
3,158.68598546110084,0.47430272677129715,0.05321483395528048,NBMF_SA,42,5,primary,0.16504891694057733,0.0008317080792039633,0.0008506651502102613,0.05142907449044287,4.907860420644283e-05
4,158.33525158456166,0.47325440461776724,0.058226500055752695,NBMF_SA,42,5,primary,0.22327541699633002,0.0007946670521050692,0.0009486153721809387,0.056356039945967495,5.795725155621767e-05
5,158.1541871317861,0.4727132140178333,0.05631720903329551,NBMF_SA,42,5,primary,0.27959262602962554,0.0008856670465320349,0.0009765749564394355,0.05432074365671724,6.245635449886322e-05
6,157.99071819351516,0.4722246153369919,0.05235258303582668,NBMF_SA,42,5,primary,0.3319452090654522,0.0008704159408807755,0.000854620011523366,0.05050279258284718,5.066883750259876e-05
7,157.75746967965293,0.47152744976298894,0.052484125015325844,NBMF_SA,42,5,primary,0.38442933408077806,0.0009090830571949482,0.0008803376695141196,0.050584248383529484,5.195254925638437e-05
8,157.6203395389445,0.47111757614074345,0.050985624897293746,NBMF_SA,42,5,primary,0.4354149589780718,0.0008278329623863101,0.0008370822761207819,0.04921515996102244,4.9625872634351254e-05
9,157.5034362817058,0.47076815943884853,0.05129462503828108,NBMF_SA,42,5,primary,0.4867095840163529,0.0008196670096367598,0.0008392044110223651,0.049533535609953105,4.6832021325826645e-05
10,157.5034362817058,0.47076815943884853,0.0497657919768244,NBMF_SA,42,5,primary,0.5364753759931773,0.0008330000564455986,0.0008201657328754663,0.04801274824421853,4.546192940324545e-05
