method,matrix_size,n,m,rank,seed,h_recovery_rate,final_error,final_relative_error,total_runtime
NBMF_Exact,10x10,10,10,2,42,1.0,6.075000622166257e-16,9.484421575247273e-17,0.017153542023152113
NBMF_SA,10x10,10,10,2,42,1.0,6.075000622166257e-16,9.484421575247273e-17,0.05168591602705419
NBMF_PathIntegral,10x10,10,10,2,42,1.0,6.075000622166257e-16,9.484421575247273e-17,0.10823524999432266
NBMF_Exact,10x10,10,10,2,43,1.0,5.98839006449065e-16,1.0566017696349146e-16,0.012609375058673322
NBMF_SA,10x10,10,10,2,43,1.0,5.98839006449065e-16,1.0566017696349146e-16,0.05049679195508361
NBMF_PathIntegral,10x10,10,10,2,43,1.0,5.98839006449065e-16,1.0566017696349146e-16,0.10909908299800009
NBMF_Exact,10x10,10,10,2,44,1.0,7.176305923866031e-16,1.291452402533062e-16,0.012617334024980664
NBMF_SA,10x10,10,10,2,44,1.0,7.176305923866031e-16,1.291452402533062e-16,0.04985854204278439
NBMF_PathIntegral,10x10,10,10,2,44,1.0,7.176305923866031e-16,1.291452402533062e-16,0.11435358296148479
NBMF_Exact,10x10,10,10,2,45,1.0,1.1731451479928298e-15,1.5331623750763724e-16,0.012297999928705394
NBMF_SA,10x10,10,10,2,45,1.0,1.1731451479928298e-15,1.5331623750763724e-16,0.05123470909893513
NBMF_PathIntegral,10x10,10,10,2,45,1.0,1.1731451479928298e-15,1.5331623750763724e-16,0.1066430420614779
NBMF_Exact,10x10,10,10,2,46,1.0,9.839537504595748e-16,1.4969282564221845e-16,0.013085625017993152
NBMF_SA,10x10,10,10,2,46,1.0,9.839537504595748e-16,1.4969282564221845e-16,0.04930558300111443
NBMF_PathIntegral,10x10,10,10,2,46,1.0,9.839537504595748e-16,1.4969282564221845e-16,0.1252784999087453
NBMF_Exact,10x10,10,10,5,42,1.0,2.330210854358529e-15,1.9168576106261054e-16,0.016384458052925766
NBMF_SA,10x10,10,10,5,42,1.0,2.330210854358529e-15,1.9168576106261054e-16,0.07526279194280505
NBMF_PathIntegral,10x10,10,10,5,42,1.0,2.330210854358529e-15,1.9168576106261054e-16,0.36804024991579354
NBMF_Exact,10x10,10,10,5,43,1.0,2.3782900692873595e-15,1.5570784105380676e-16,0.01751325000077486
NBMF_SA,10x10,10,10,5,43,1.0,2.3782900692873595e-15,1.5570784105380676e-16,0.08070737507659942
NBMF_PathIntegral,10x10,10,10,5,43,1.0,2.3782900692873595e-15,1.5570784105380676e-16,0.3752372079761699
NBMF_Exact,10x10,10,10,5,44,1.0,2.173812713080067e-15,1.8442257627925617e-16,0.01691775000654161
NBMF_SA,10x10,10,10,5,44,1.0,2.173812713080067e-15,1.8442257627925617e-16,0.08058254106435925
NBMF_PathIntegral,10x10,10,10,5,44,1.0,2.173812713080067e-15,1.8442257627925617e-16,0.37476529204286635
NBMF_Exact,10x10,10,10,5,45,1.0,4.6247818965208385e-15,3.061340145322454e-16,0.017647083033807576
NBMF_SA,10x10,10,10,5,45,1.0,4.6247818965208385e-15,3.061340145322454e-16,0.07930612494237721
NBMF_PathIntegral,10x10,10,10,5,45,1.0,4.6247818965208385e-15,3.061340145322454e-16,0.3710410420317203
NBMF_Exact,10x10,10,10,5,46,1.0,2.9300213856046414e-15,1.8392540457644722e-16,0.017509790952317417
NBMF_SA,10x10,10,10,5,46,1.0,2.9300213856046414e-15,1.8392540457644722e-16,0.07811045798007399
NBMF_PathIntegral,10x10,10,10,5,46,1.0,2.9300213856046414e-15,1.8392540457644722e-16,0.3750966250663623
