data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible,note
synthetic,10x10,10,10,2,simulated_annealing,42,6.075000622166257e-16,9.484421575247273e-17,0.055645415908657014,0.0037096943939104675,0.0009053329704329371,0.0007431193953379989,0.05364761617965996,9.137776214629412e-05,150,0.0003576507745310664,,
synthetic,10x10,10,10,2,simulated_annealing,43,5.98839006449065e-16,1.0566017696349146e-16,0.050522707984782755,0.00336818053231885,0.0007812901167199016,0.0005985812749713659,0.04889475554227829,7.040996570140123e-05,150,0.00032596503694852193,,
synthetic,10x10,10,10,2,simulated_annealing,44,7.176305923866031e-16,1.291452402533062e-16,0.088227582979016,0.005881838865267734,0.005237290868535638,0.000992952031083405,0.08158512122463435,0.00011457153595983982,150,0.0005439008081642289,,
synthetic,10x10,10,10,5,simulated_annealing,42,2.330210854358529e-15,1.9168576106261054e-16,0.0873907080385834,0.005826047202572226,0.0010289150523021817,0.0012694926699623466,0.08479169895872474,9.465822950005531e-05,150,0.0005652779930581649,,
synthetic,10x10,10,10,5,simulated_annealing,43,2.3782900692873595e-15,1.5570784105380676e-16,0.08541212498676032,0.0056941416657840214,0.0010678720427677035,0.0011908700689673424,0.08287628379184753,8.715991862118244e-05,150,0.0005525085586123168,,
synthetic,10x10,10,10,5,simulated_annealing,44,2.173812713080067e-15,1.8442257627925617e-16,0.07983245805371553,0.005322163870247702,0.0010014587314799428,0.00115399737842381,0.07741240691393614,8.3708087913692e-05,150,0.0005160827127595743,,
synthetic,20x20,20,20,2,simulated_annealing,42,2.0383465890949934e-15,1.316655174361487e-16,0.10236462508328259,0.006824308338885506,0.001556128147058189,0.0012348712189123034,0.09917756693903357,0.00013835693243891,300,0.00033059188979677856,,
synthetic,20x20,20,20,2,simulated_annealing,43,2.232616071049176e-15,1.576520594364175e-16,0.10106825002003461,0.006737883334668974,0.001529331086203456,0.0013198773376643658,0.09783995943143964,0.00014908204320818186,300,0.0003261331981047988,,
synthetic,20x20,20,20,2,simulated_annealing,44,3.164470373670993e-15,2.1868824419530422e-16,0.10300091607496142,0.0068667277383307615,0.0014873322797939181,0.0012475673574954271,0.09988641866948456,0.00014236627612262964,300,0.00033295472889828184,,
synthetic,20x20,20,20,5,simulated_annealing,42,5.132347610756001e-15,2.0188819660483103e-16,0.17729575000703335,0.011819716667135556,0.0019218758679926395,0.002370230620726943,0.17258749844040722,0.00016102276276797056,300,0.000575291661468024,,
synthetic,20x20,20,20,5,simulated_annealing,43,5.352348096282305e-15,1.9534701451716657e-16,0.16839379095472395,0.01122625273031493,0.0019954140298068523,0.00234457163605839,0.16362553741782904,0.00016716052778065205,300,0.0005454184580594301,,
synthetic,20x20,20,20,5,simulated_annealing,44,5.4155610913710385e-15,2.0341500994848947e-16,0.1601762919453904,0.010678419463026027,0.002008040086366236,0.002335413359105587,0.1553983730264008,0.0001610713079571724,300,0.0005179945767546693,,
synthetic,20x20,20,20,10,simulated_annealing,42,0.5650688889705151,0.009810266727678043,0.2934636250138283,0.019564241667588553,0.003764167078770697,0.0059308616910129786,0.2832062253728509,0.00017812929581850767,300,0.0009440207512428363,,
synthetic,20x20,20,20,10,simulated_annealing,43,1.0042610110910397e-14,1.824672606237446e-16,0.30090887495316565,0.02006059166354438,0.003377079963684082,0.005912908702157438,0.2910504100145772,0.0001868742983788252,300,0.0009701680333819241,,
synthetic,20x20,20,20,10,simulated_annealing,44,1.0768734120378298e-14,1.9407063366186503e-16,0.3045282090315595,0.02030188060210397,0.0033920829882845283,0.005888161598704755,0.29462689731735736,0.00021144794300198555,300,0.0009820896577245246,,
synthetic,50x50,50,50,2,simulated_annealing,42,6.080336937867363e-15,1.8905980420792073e-16,0.27145454194396734,0.018096969462931156,0.00382404203992337,0.003857365227304399,0.2629012140678242,0.00036919687408953905,750,0.00035053495209043227,,
synthetic,50x50,50,50,2,simulated_annealing,43,6.192644039520529e-15,1.915259157472239e-16,0.26390879100654274,0.017593919400436184,0.0038476650370284915,0.0038398861652240157,0.25535970425698906,0.0003839911660179496,750,0.0003404796056759854,,
synthetic,50x50,50,50,2,simulated_annealing,44,6.337817383053214e-15,1.8990369858958882e-16,0.26235124992672354,0.017490083328448237,0.003941499977372587,0.003945219214074314,0.2535800891928375,0.0003678227076306939,750,0.00033810678559044997,,
synthetic,50x50,50,50,5,simulated_annealing,42,1.4492145139196642e-14,1.8836324785411473e-16,0.4085526670096442,0.027236844467309614,0.005253872717730701,0.006405845517292619,0.39598951709922403,0.0003994078142568469,750,0.0005279860227989653,,
